地点,短评,天数,人均费用,人物,玩法
昆明,放飞心灵打卡之旅：昆明—弥勒—普者黑—乌蒙大草原7日游,7,2200,三五好友,第一次 自驾 暑假
广州,想打死同伴的广州三日游,3,2680,三五好友,第一次 美食
成都,孤独患者寻味记,5,1000,三五好友,美食 暑假
杭州,被利奇马挽留的杭城之美,3,1500,独自一人,短途周末 美食
贵阳,去贵阳花溪，避暑热，学儒家，拜孔子,2,1000,亲子,短途周末 穷游 古镇 暑假
重庆,重庆4日游（内附干货！）,4,2000,学生,第一次 美食 夏季
西双版纳,三口之家科普自驾游-雅安熊猫基地-红军强渡大渡河-西双版纳植物园-昆明西山龙门,8,2600,家庭,自驾 美食 暑假
阳朔,八月，桂林阳朔3日休闲游，一场歌舞唱响八桂大地,3,2000,三五好友,深度游 夏季
阳朔,"广西桂林,龙脊梯田,阳朔端午自驾3日游",3,1000,家庭,自驾 端午
宁夏,奔走与狂欢的青春，沃野与神秘的宁夏~,6,2000,情侣,毕业游 摄影 暑假
宝鸡,宝鸡大水川景区三日游,3,1000,亲子,自驾
承德,"承德,乌兰布统,塞罕坝6日家庭自驾游！",6,1100,家庭,自驾 夏季
南京,2019暑假南京亲子慢游8日,8,2000,家庭,第一次 暑假
长沙,憨居居慢节奏之旅,6,1500,学生,毕业游 夏季
长春,长春游记,1,150,独自一人,徒步 穷游
宁波,宁波两日，好的天气自然是好心情,2,1500,独自一人,第一次 短途周末
兰州,“兰州”不会把你当旅人，会把当一个多年未曾相识的老朋友。,3,800,独自一人,短途周末 骑行 美食 五一 国庆
宁波,蓝天白云突然暴风雨，跟着我换个地方过周末,2,500,三五好友,短途周末 美食
西安,到长安城探访历史的足迹,6,2000,亲子,美食 徒步 暑假
黄山,黄山+宏村四日三晚亲子游,4,2000,亲子,第一次 古镇 短途周末 暑假 夏季
日照,带你看我眼中的日照，看花、赏竹、游泳、航拍，这样玩才最嗨！,3,500,三五好友,深度游 短途周末 自驾 暑假 中秋节
北京,北京8日游,8,2200,三五好友,第一次 深度游 穷游 暑假
鼓浪屿,三口之家的厦门亲子游记,3,2300,家庭,第一次 美食 摄影 暑假
卓尼,离天堂最近仅一座城一块石一个寺一条沟就迷死人想知道它在哪儿吗？,2,600,三五好友,第一次 深度游 自驾 夏季
景德镇,这个暑假，跟着“杰伦女孩”去景德镇过涨知识的周末,2,1000,三五好友,短途周末 美食 古镇 夏季
青岛,青岛金沙滩🌊崂山望胶东🏞赏蓬莱仙境📸清爽长岛游🏖亲子8日游👩‍👦,8,2300,亲子,海滨海岛 美食 摄影 夏季 暑假
五台山,心之所往，我的五台山朝圣之旅,4,1300,三五好友,徒步 夏季
洛阳,暮春时节赏牡丹游嵩山看开封,5,2300,闺蜜,穷游
永嘉,诗画浙江，山水秉承，与你漫步在悠悠楠溪江,3,1500,三五好友,深度游 短途周末 摄影 夏季
小金,纯净小金，拥有让人震撼之美，也是凉爽的避暑胜地,3,2000,情侣,第一次 短途周末 徒步 夏季 暑假
楠溪江,逃离高温酷暑，来楠溪江过个清凉夏日，寻瀑布乘竹筏看美景,3,1000,三五好友,第一次 自驾 夏季 暑假
珠海,广州出发！上班族周末的正确打开方式——珠海悠闲2日游,2,500,闺蜜,短途周末 摄影 海滨海岛 夏季 暑假
句容,夏日仙居茅山之上,3,2000,三五好友,短途周末 徒步 摄影
海西,4天3夜，西北自驾の青海夏日风光大赏,4,2000,家庭,短途周末 自驾 摄影 夏季 暑假
怡保,偷一点时间，去感受西马的温柔夏夜,5,2000,闺蜜,短途周末 摄影 夏季
文成,消夏避暑自驾文成，带你感受浙南山水的清凉之意,3,1800,三五好友,深度游 自驾 摄影
成都,浮生一日成都十二时辰旅行攻略实记,1,150,三五好友,短途周末
铁岭,铁岭游记,2,200,独自一人,徒步 穷游
抚顺,抚顺游记,2,200,独自一人,徒步 穷游
小金,转山转水遇上四姑娘山，在川西体验最美户外天堂丨四姑娘山攻略,4,2000,三五好友,徒步 摄影 探险 夏季
青海湖,今后，永远不会在同一个时空中邂逅同样的诗意——七月青海湖行记,3,500,情侣,深度游 自驾 摄影 暑假
武汉,花点时间游武汉·三天两夜武汉自驾,3,2000,三五好友,深度游 短途周末 自驾 夏季
广州,广州长胖记|不能错过的日料美食,3,1500,情侣,美食 夏季
顺德,一个人也要寻味顺德，暴雨、孤独和坏心情都阻止不了吃货的心,2,1400,独自一人,短途周末 美食
青岛,青岛，是夏天的味道,3,2300,独自一人,第一次 夏季
大同,我们的自驾大同之旅,2,1200,情侣,短途周末 自驾 美食 踏春 夏季
文成,三天两夜玩转”长寿之乡”温州文成,3,799,三五好友,第一次 自驾 摄影 夏季
大连,2019暑假大连亲子6日游,9,2300,家庭,第一次 暑假
文成,三日游文成—在江南小镇里寻找慢时光【暑假小众景点打卡推荐】,5,2000,三五好友,深度游 摄影 暑假
普吉岛,普吉岛跟团游是一种什么体验？多图航拍视角跟大家讲解。,5,2999,三五好友,第一次 潜水 夏季
重庆,成都啊成都，重庆啊重庆~,7,2200,家庭,第一次 美食 夏季
厦门,厦门｜时光往复，我愿爱你如初,3,1000,闺蜜,短途周末 暑假
武陵源,故地重游，三天两夜探寻张家界的吃喝玩乐,4,2500,独自一人,穷游 摄影 暑假
张家界,时隔四年再来张家界，重温科幻般的绝世风光,3,2500,三五好友,深度游 摄影 暑假
长沙,君幸食：味觉长沙（长沙四天三夜家庭游）,4,2000,家庭,短途周末 暑假
乌镇,这个夏天，带娃去乌村体验陶渊明笔下的桃花源，来乌村参加夏令营吧！,3,1000,亲子,短途周末 自驾 暑假
成都,打卡小众景点，遍寻成都网红美食！唯有爱与美食不可辜负～,3,2000,三五好友,深度游 短途周末 美食 暑假
西安,西安，历史与美食交错的一场旅程,5,2500,闺蜜,第一次
桂林,从阳朔到桂林，遇见米粉遇见你|五天四夜在桂林,1,2000,闺蜜,第一次
西安,端午游西安登华山,5,2100,闺蜜,穷游 端午
黄山,梦幻徽州我来啦！（内含多图）,7,2500,三五好友,第一次 暑假 夏季
厦门,【游记】住在这里后，我再也不想去鼓浪屿了！,2,1000,三五好友,美食 摄影 海滨海岛 夏季
巩留,尼勒克百里画廊闻名遐迩殊不知天山深处还有一个而且是世界遗产！,1,300,三五好友,第一次 深度游 自驾 夏季
伊犁,听别人说看网上图等于零只有切身自驾一回伊昭公路你才知道这条路有多销魂！,1,150,三五好友,第一次 自驾 摄影 夏季
上海,三天两夜的魔都游，是什么和迪士尼最配？,3,1800,情侣,短途周末 美食 古镇 五一
杭州,左手遗址文明，右手现代艺术，我在良渚寻访江南源头,3,800,三五好友,深度游 短途周末 摄影
黄山,期待遇见美绝的黄山,3,2000,闺蜜,第一次 夏季
杭州,【苏杭】忙里偷闲下苏杭，夏日里的穿越小确幸,3,2500,家庭,深度游 短途周末 摄影 夏季 暑假
三亚,三亚海滩度假，玩转盛夏，穿越千古情缘,3,1500,独自一人,短途周末 骑行 摄影 暑假
恩施,【恩施漫步】风吟浅夏，绿染流光。（恩施小长假之行）,4,1500,家庭,第一次 徒步 摄影 五一
镇江,何处望神州——镇江逛吃两日游,2,500,闺蜜,第一次 短途周末 夏季 暑假
成都,【成都攻略】必吃的地道网红美食店，游玩成都周边景点,3,1500,三五好友,美食 夏季 暑假
丽江,暑假遛娃好去处，给你一个不一样的丽江！,1,2000,亲子,深度游 古镇 暑假
青岛,倾泉音、恋海鸣，尽管世事如书，但我偏爱红瓦绿树的那个初夏,4,2800,三五好友,美食 摄影 五一 漫游 海滨海岛
敦煌,没想到，真有人在大漠建了一座能看星星的边城驿站,5,2800,独自一人,短途周末 穷游 摄影 暑假
黄山,二刷黄山，重温徽州文化的皖南韵味,3,1500,独自一人,深度游 古镇 夏季
格尔木,雪山溯源，昆仑之巅,5,1500,三五好友,深度游
成都,3天2夜，行走成都大街小巷，探秘9处火到爆棚的网红景点和餐厅,3,2500,独自一人,深度游 美食
香港,盛夏亲子游攻略丨到香港迪士尼和“玩具”朋友一起“打水仗”,2,2000,亲子,短途周末 夏季 暑假
三亚,海南三亚5日自驾横跨琼州海峡在东方夏威夷浪漫一夏,5,2000,三五好友,自驾 摄影 海滨海岛 夏季
海口,海南小众游|给我三天时间local带你玩转海口周边（茶园起舞，品旧时光）,3,1000,闺蜜,自驾 美食 摄影 夏季
常熟,3天2晚清凉沙家浜：清凉赏荷、芦荡泛舟、久住水上人家,3,1500,情侣,深度游 自驾 古镇 夏季
厦门,享受海浪的声音，请让厦门的度假时光更慢一些,3,2500,独自一人,短途周末 美食 温泉 暑假
成都,再遇成都【这是一次文艺的寻“胖”之旅】,4,2000,三五好友,深度游 美食 摄影 夏季
秦皇岛,72h探秘、360°海陆空体验--秦皇岛渔岛海洋温泉度假区,3,1500,情侣,美食 温泉 海滨海岛
成都,六月成都之旅，打开天府之国的小众玩法,5,2500,情侣,深度游 美食 摄影 暑假
马尼拉,免签入境菲律宾，日上购物，马尼拉过周末（含日本三年签入境菲律宾攻略）,2,1000,三五好友,短途周末 购物 海滨海岛
石台,诗意石台·从壹到拾叁，遇见不一样的风景,4,2000,三五好友,深度游 夏季
石台,寻道李白秋浦歌，游安徽石台山川和溪河,4,1200,三五好友,深度游 夏季
昌黎,我和夏天有个约定：渔岛小记,3,1500,三五好友,美食 温泉 寒假
日照,单车自驾：海天盛筵，另一个角度游日照,6,2000,情侣,自驾 美食 海滨海岛 夏季
哈尔滨,哈尔滨丨在这座年轻的老城市下午，我吃了四根马迭尔,3,1200,三五好友,短途周末 夏季
大连,沿海北上，来一场毕业旅行,5,2500,独自一人,毕业游 摄影 海滨海岛 夏季 暑假
厦门,厦门，不知道去哪的时候就会来这里,3,1500,三五好友,短途周末 美食 海滨海岛 端午
崇左,广西崇左，这是一个什么神仙地方？【超小众广西路线推荐】,1,1500,闺蜜,深度游
清迈,清迈四天漫游——寻找一个关于生活的答案#写游记拿旅行基金#,4,1900,独自一人,深度游
上海,【为了体验磁悬浮列车】一次说走就走的旅行GOTo上海-西塘5日游,5,2400,亲子,美食 寒假
香港,寻找港味，48小时遇见一个市井香港#写游记拿旅行基金#,2,500,三五好友,短途周末
成都,周末自驾成都，玩转成都各大文艺地,3,2000,三五好友,深度游 摄影 五一 中秋节
南京,【子欲养而亲还在】南京穿着汉服带着奶奶去旅行来一场现代与历史的碰撞,3,800,家庭,第一次 夏季
日照,日照海边亲子度假之旅，宝贵经验告诉你,3,500,家庭,第一次 短途周末 自驾 暑假 国庆
西双版纳,暑期哪里玩，就去西双版纳中缅第一寨勐景来，超多美女美景美食等你来,3,1000,家庭,自驾 美食 摄影 暑假
婺源,夏游婺源，放肆去狂浪，避暑好清凉！#写游记拿旅行基金#,3,1000,三五好友,短途周末 夏季 暑假
成都,四天三晚，成都那些让人念念不忘的美食和美景,4,2500,三五好友,深度游 端午
黄山,千年历史浓缩的城市，还有宜人的自然风光#写游记拿旅行基金#,2,700,三五好友,短途周末 摄影 暑假
扬州,#写游记拿旅行基金#青山隐水声声慢，灿烂六月下扬州,2,400,闺蜜,短途周末 美食 古镇 夏季
成都,寻味一夏，乐玩蓉城48h，深陷美食美景漩涡，其乐无穷,2,2000,三五好友,短途周末 美食 摄影 夏季
商河,孟夏的商河--特色美食美景全攻略,7,1000,独自一人,深度游 夏季
三亚,远离客流景区，在三亚一样可以享受天蓝海蓝美味飘香的度假时光,7,2980,三五好友,美食 摄影 海滨海岛
厦门,【攻略】带娃来厦门亲子游，必去的几个寓教于乐小众景点！,3,1000,亲子,海滨海岛 暑假
江口,上海至铜仁梵净山、湘西凤凰古城四日自由行,4,2700,情侣,短途周末 端午 夏季
北京,提灯夜游司马台长城，看星空璀璨，古北水镇你可以这样玩,3,2000,三五好友,短途周末 自驾 美食 夏季 暑假
日照,元气三姐妹の日照海滨度假之旅,3,800,家庭,短途周末 海滨海岛 端午
厦门,厦门的夏天，有情怀有风景有故事还有你——厦门亲子的不二选择,1,2000,亲子,短途周末 自驾 摄影
厦门,独自带娃出逃记，湿漉漉的厦门三日之旅，附史上最详细厦门科技馆攻略,3,600,亲子,短途周末 美食
哈尔滨,没有冰雕依然心动的哈尔滨,3,2000,学生,第一次 深度游 美食 清明 踏春
芽庄,越南芽庄，和想象中差距有点大(4日休闲游）,4,1600,学生,穷游
厦门,厦门☆这里很美，而我们正好有空~,4,2500,亲子,短途周末 端午
日照,日照自驾游攻略——日照最美的金沙滩，你可曾来过？,2,500,亲子,短途周末 自驾 美食 五一 暑假
老挝,老挝勐赛走进森林两天一晚游,2,1200,三五好友,深度游 短途周末 自驾 夏季
成都,蓉城寻吃记在吃货与文艺咖之间自由切换,3,1000,三五好友,美食
苏州,苏州本地人带你一起玩转苏州城避开游玩漏洞（内附苏州三日游详情）,3,500,闺蜜,短途周末 毕业游 穷游 端午 夏季
东戴河,【北京周末自驾游】跟着“后备箱营地”去扎营，一起做这片沙滩🏖最令人羡慕的崽,2,400,三五好友,自驾 穷游 美食 端午
邛崃,成都周边，避暑，玩水，采摘，带娃好去处，强烈推荐--天台山,3,420,三五好友,自驾 美食 古镇 端午
山海关,端午自驾北戴河实用攻略,3,600,家庭,自驾 端午
昌黎,河北【乐亭-昌黎】北京出发-六月端午节，京东醉美海岛3日,3,1400,三五好友,自驾 摄影 海滨海岛 端午
济南,你要的“泉”拿走。,2,1000,情侣,短途周末 徒步 端午
原州市,独自去社交网站最红的旅游景点,2,590,独自一人,短途周末 美食
峨眉山,蜀中有仙山，峨眉自古奇——峨眉山奇幻之旅！,3,800,独自一人,深度游 徒步 探险 端午
呼和浩特,蒙古汉子带你玩转内蒙古，玩转呼和浩特，经典草原沙漠5日游攻略,5,800,三五好友,深度游 自驾 环游 夏季 暑假
开封,开封旅游，一边游一边吃一边吐槽~,3,1900,情侣,美食 端午
西安,又见长安——寻古之旅,3,2000,独自一人,摄影 端午
